title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
Toward Net-Zero Energy Buildings: A Systematic Review of AI-Driven Renewable Energy Integration and Optimization,2026-06-23,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132475,https://doi.org/10.3390/buildings16132475,https://www.mdpi.com/2075-5309/16/13/2475/pdf?version=1782199347,27,BIM; building information model; building information modeling,通过系统综述2012至2025年间41篇研究，评估了机器学习、物联网和建筑信息模型在可再生能源整合与优化中的应用，发现太阳能光伏建筑可降低35-64%电费，且ML预测模型精度达R²=0.989，并指出实时传感器集成与多气候数据集等研究空白。
Technology for assembly accuracy inspection of prefabricated buildings based on integration of 3D laser scanning and BIM,2026-06-23,OpenAlex,,https://doi.org/10.1117/12.3115578,https://doi.org/10.1117/12.3115578,,8,BIM,基于3D激光扫描与BIM集成技术，提出一种装配式建筑组装精度检测方法，通过融合点云数据与建筑信息模型实现构件安装偏差的自动识别与评估。
Multi-granularity infrastructure-BIM object classification and decomposition for highway project delivery,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0176,https://doi.org/10.22260/isarc2026/0176,https://www.iaarc.org/./publications/fulltext/ISARC2026_1332.pdf,87,BIM; bim model; bim models; building information model; building information modelling; IFC; ifc model; ifc models; industry foundation class; industry foundation classes,针对高速公路项目交付中IFC模型转换低效问题，提出一种自动分类多粒度IFC BIM模型并分解粗粒度元素的方法。该方法开发上下文感知网格神经网络，结合几何信息预测网格语义，在6058个IFC元素上实现86.38%分类准确率。
A BIM-based Ontology Method for Knowledge Representation in Light Gauge Steel Panel Assembly,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0217,https://doi.org/10.22260/isarc2026/0217,https://www.iaarc.org/./publications/fulltext/ISARC2026_1360.pdf,73,BIM; bim model; bim-based; building information model; building information modeling; IFC; industry foundation class; industry foundation classes,提出一种基于BIM的本体框架，用于轻钢龙骨面板装配中的语义知识表示。通过将BIM模型导出为IFC格式，利用IfcOpenShell提取构件与几何属性并映射至本体，采用基于连接的推理方法推断装配操作，从而建立产品信息与面向制造和装配设计过程知识之间的明确关联。
Automated BIM-Ready 3D Reconstruction from Muon Flux Tomography Data: An IFC-Based Integration Pipeline for Bridge Inspection,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0186,https://doi.org/10.22260/isarc2026/0186,https://www.iaarc.org/./publications/fulltext/ISARC2026_1411.pdf,70,BIM; building information model; building information modelling; IFC; ifc-based; industry foundation class; industry foundation classes,该研究提出一种基于IFC的自动化管道，将缪子通量断层扫描数据转换为IFC4兼容模型，通过几何到IFC的曲面重建与网格清理流程，实现桥梁检测中非破坏性成像数据与BIM生态系统的互操作性。
Automated Scan-to-BIM Method for City-Scale Building Roof Reconstruction Using UAV Photogrammetry and Geospatial Building Footprints,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0205,https://doi.org/10.22260/isarc2026/0205,https://www.iaarc.org/./publications/fulltext/ISARC2026_1170.pdf,67,BIM; building information model; building information modelling; IFC; industry foundation class; industry foundation classes; scan-to-bim,提出一种自动化扫描到BIM框架，利用无人机摄影测量数据和地理空间建筑足迹，为城市环境中建筑屋顶生成符合IFC标准的模型。该方法通过稳健分割管道提取屋顶平面，并采用alpha-shape边界正则化重建非凸特征，实验验证了98.8%的补丁级正确率。
A Survey-Controlled Photogrammetric Framework for Consistent Multi-Floor Geometry Estimation in Robotic Facade Installation,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0292,https://doi.org/10.22260/isarc2026/0292,https://www.iaarc.org/./publications/fulltext/ISARC2026_1247.pdf,62,BIM; building information model; building information modeling; IFC; ifc model; industry foundation class; industry foundation classes,提出一种基于测量控制摄影测量的框架，通过集成高分辨率近景成像与测量标志，建立一致的多楼层参考系，实现机器人立面安装中毫米级几何精度。该框架将密集图像几何与设计BIM/IFC模型对齐，并验证多楼层一致性、误差传播及锚点适用性。
An automated approach to quantify exposure of informal urban settlements using UAV and Scan-to-BIM,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0234,https://doi.org/10.22260/isarc2026/0234,https://www.iaarc.org/./publications/fulltext/ISARC2026_1301.pdf,61,BIM; IFC; ifc model; ifc models; industry foundation class; industry foundation classes; scan-to-bim,提出一种结合无人机摄影测量与Scan-to-BIM的自动化框架，通过处理点云提取建筑足迹并生成IFC模型，量化非正规城市聚落的地质灾害暴露度。该方法建立了可复现的BIM-GIS桥梁，克服了传统监测在无文档城市区域的时间与空间限制。
An Automated Pipeline for Generating a Multi-Layered Spatial Map for Indoor Robot Navigation from BIM Data,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0030,https://doi.org/10.22260/isarc2026/0030,https://www.iaarc.org/./publications/fulltext/ISARC2026_1135.pdf,57,BIM; building information model; building information modeling; IFC; industry foundation class; industry foundation classes,提出一种自动化流程，将IFC格式的BIM数据转换为包含度量占用网格、语义实体层和拓扑图的多层空间地图，用于室内机器人导航。通过仿真实验验证，该方法能自动生成集成地图，提升机器人定位与上下文感知导航能力。
Research on the Structure and Transmission of Enhanced IFC for LLM-Driven Intelligent Design,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0179,https://doi.org/10.22260/isarc2026/0179,https://www.iaarc.org/./publications/fulltext/ISARC2026_1167.pdf,57,BIM; bim model; bim models; IFC; ifc model; industry foundation class; industry foundation classes,提出一种增强语义IFC模型，用于传输设计过程中的流程和语义数据，通过对齐大模型数据并利用RAG实现智能设计，同时集成区块链与AES加密以解决版权和安全问题，提升了建筑设计数据的智能性、安全性和完整性。
An Automatic Update Framework for As-designed Pipeline BIM Model Based on Laser Scanning Point Cloud,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0250,https://doi.org/10.22260/isarc2026/0250,https://www.iaarc.org/./publications/fulltext/ISARC2026_1206.pdf,53,BIM; bim model; bim models; bim-based; building information model; building information modeling,提出一种基于激光扫描点云与设计BIM先验知识的自动更新框架，通过点云语义分割、参数提取和空间拓扑分析建立构件对应关系，生成更新后的BIM模型。在复杂机电管线环境中的案例表明，该框架可将模型更新时间从3-5天缩短至约3小时，显著提升基于BIM的机电管理效率。
"BIM-Integrated Generation of Safety-Aware, Georeferenced Occupancy Grid Maps for Autonomous Masonry Robots",2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0078,https://doi.org/10.22260/isarc2026/0078,https://www.iaarc.org/./publications/fulltext/ISARC2026_1223.pdf,51,BIM; building information model; building information modeling; IFC; ifc model; ifc-based,提出一种将IFC的BIM信息集成到ROS 2导航栈的工作流，通过生成二维占用网格地图和安全掩码，提升砌砖机器人导航安全性。该方法从IFC提取几何、语义与地理参考信息，分类障碍物并生成地图与掩码，仿真验证了其能提高安全成功率并消除入侵。
Digital Twin Framework for Humanoid Robotics in Construction: A Conceptual Approach for Scene and Task Simulation,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0057,https://doi.org/10.22260/isarc2026/0057,https://www.iaarc.org/./publications/fulltext/ISARC2026_1191.pdf,46,BIM; bim model; bim models; building information model; building information modeling; digital twin,提出一个面向施工人形机器人的数字孪生框架（DTCH），通过整合BIM、物理仿真与任务定义，将BIM模型转换为MuJoCo仿真场景，实现人形机器人在虚拟环境中执行施工任务的模拟与测试。
LLM-Based BIM-DfS Framework for Phase-Specific Safety Mitigation Recommendations during the Design Stage,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0100,https://doi.org/10.22260/isarc2026/0100,https://www.iaarc.org/./publications/fulltext/ISARC2026_1113.pdf,44,BIM; bim model; bim models; building information model; building information modeling,提出一种集成设计安全与BIM的框架，利用大语言模型从488份DfS报告中自动推断元素信息并生成知识图谱。该框架按Uniformat II划分施工阶段，通过BIM插件使设计人员实时获取基于经验数据的阶段特定安全缓解措施。
Construction of BIM-FM Data Linkage Methods Based on Real Estate Ownership Forms and Implementation in Management Systems,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0232,https://doi.org/10.22260/isarc2026/0232,https://www.iaarc.org/./publications/fulltext/ISARC2026_1209.pdf,44,BIM; bim model; bim models; building information model; building information modeling,本研究针对设施管理中空间与数据割裂的问题，提出基于云端的BIM-FM集成系统，面向企业不动产和房地产投资信托基金两种所有权形式，通过Autodesk平台服务动态链接三维BIM模型与外部管理数据库，并在东京办公楼原型验证中提升了运营效率与治理透明度。
"Framework for tunnel design, construction and operations-based information model using OpenBIM approach",2026-06-22,OpenAlex,,https://doi.org/10.1201/9781042001064-235,https://doi.org/10.1201/9781042001064-235,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.1201/9781042001064-235&type=chapterpdf,42,BIM; building information model; building information modelling; digital twin; openbim,提出一种基于OpenBIM的隧道全生命周期信息模型框架，结合ISO 19650标准与最新BIM软件技术，实现从概念设计到设施管理的数字孪生工作流，以解决数据互操作性不足的问题。
Development and Implementation of an OpenBIM-LCA Workflow for Factory Planning,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0328,https://doi.org/10.22260/isarc2026/0328,https://www.iaarc.org/./publications/fulltext/ISARC2026_1090.pdf,39,BIM; building information model; building information modeling; openbim,针对工厂规划中建筑信息模型与生命周期评估的自动化集成研究空白，提出并实现了一种基于OpenBIM的工厂特定生态评估工作流。该工作流通过Desite md平台连接生产系统与建筑材料的能耗及生命周期评估数据库，支持多学科协同，为工厂设计阶段的可持续决策提供实践参考。
Is it worth implementing a Digital Twin for road tunnel operation?,2026-06-22,OpenAlex,,https://doi.org/10.1201/9781042001064-248,https://doi.org/10.1201/9781042001064-248,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.1201/9781042001064-248&type=chapterpdf,39,BIM; bim model; building information model; building information modelling; digital twin,以法国弗雷瑞斯公路隧道为案例，通过构建包含土建工程BIM模型与运营监测数据的数字孪生框架，评估其在隧道运营中提升资产管理和维护效率的可行性，为基础设施数字化转型提供实践参考。
Robot assisted selective disassembly for buildings,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0260,https://doi.org/10.22260/isarc2026/0260,https://www.iaarc.org/./publications/fulltext/ISARC2026_1316.pdf,34,BIM; bim-based; building information model; building information modeling,将BIM选择性拆解规划与机器人自动化结合，通过虚拟仿真和试点测试验证了该方法在简单建筑原型中的技术可行性，旨在实现建筑构件的高效自主回收，促进材料循环利用并减少排放。
BIM-based Hybrid Knowledge Graph based on DSL for Computational Design Rule Formalization,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0229,https://doi.org/10.22260/isarc2026/0229,https://www.iaarc.org/./publications/fulltext/ISARC2026_1152.pdf,31,BIM; bim model; bim models; bim-based,提出一种结合领域特定语言、混合知识图谱与大语言模型的多阶段框架，从建筑规范文本中自动化形式化计算设计规则。以《住宅设计规范》为案例，将条文解析为四类规则，通过混合存储构建可查询知识库，实现与BIM模型的互操作与自动合规检查。
Bridging Building Information Modelling and Natural Language Processing: A Systematic Review on Current Applications and Limitations,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0241,https://doi.org/10.22260/isarc2026/0241,https://www.iaarc.org/./publications/fulltext/ISARC2026_1081.pdf,31,BIM; building information model; building information modelling,通过系统文献综述方法，梳理了92篇自然语言处理（NLP）在建筑信息模型（BIM）工作流中的应用研究，提出将BIM-NLP集成分为提取、查询、丰富、修改和匹配五类。分析表明，现有研究多为外围或探索性应用，但NLP在提升数据可访问性、自动化信息处理和增强人机交互方面具有潜力。
Neural Implicit Representations for IFC Objects: A Coordinate-Preserving Approach for Volumetric Spatial Reasoning,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0190,https://doi.org/10.22260/isarc2026/0190,https://www.iaarc.org/./publications/fulltext/ISARC2026_1208.pdf,30,IFC; industry foundation class; industry foundation classes,提出一种自解码器方法，将IFC对象几何转换为统一且可生成的表示，通过保留全局坐标的导出策略和点-表面距离采样，实现体素空间推理。该方法在重建保真度上显著优于体素基线，并在多约束空间交互分类中达到96.8%的准确率。
RAG-LLM-Enhanced BIM for Automated Fall Hazard Detection and Prevention,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0182,https://doi.org/10.22260/isarc2026/0182,https://www.iaarc.org/./publications/fulltext/ISARC2026_1250.pdf,30,BIM; building information model; building information modeling,提出一种结合检索增强生成与大语言模型的BIM管道，用于自动识别高处坠落风险并生成预防措施。该方法通过领域本体将非结构化安全规范映射至BIM几何模型，实现空间危险检测，并自动放置符合OSHA标准的防护栏，克服了现有LLM-BIM框架在语义解释与几何分析间的局限。
Scan-to-BIM: Edge-driven Pipeline to Facade Reconstruction,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0165,https://doi.org/10.22260/isarc2026/0165,https://www.iaarc.org/./publications/fulltext/ISARC2026_1051.pdf,30,BIM; bim model; IFC; scan-to-bim,提出一种面向立面重建的扫描至BIM流程，从地面激光扫描数据出发，结合图像边缘提取、几何处理与程序化建模，最终通过构造实体几何方案生成IFC兼容的墙体与开口实体。该方法在合成与真实数据集上验证了几何重建的鲁棒性，但自动边缘提取在复杂立面上仍是主要瓶颈。
An Integrated Product-Process Representation for Deriving Robotic Task Structures using Graph Transformations,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0284,https://doi.org/10.22260/isarc2026/0284,https://www.iaarc.org/./publications/fulltext/ISARC2026_1085.pdf,29,BIM; bim model; bim models; building information model,提出一种基于图的集成方法，从建筑信息模型（BIM）中推导出机器人可执行的任务结构。该方法将BIM产品数据与可复用的施工方法模板结合，通过图变换生成元素特定的任务结构，并映射为行为树，实现现场机器人任务的执行级控制。
LLM-based Exploration of BIM Clash Information using Semantic Knowledge Graph,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0091,https://doi.org/10.22260/isarc2026/0091,https://www.iaarc.org/./publications/fulltext/ISARC2026_1295.pdf,29,BIM; bim model; bim models; bim-based,针对BIM碰撞检测缺乏语义解释的问题，开发了基于LLMChain的碰撞信息探索模块，通过构建语义知识图谱结合大语言模型，实现语义与空间级探索。实验显示，该模块执行性和语义准确性达0.92和0.85，优于单提示模型，提升了复杂查询可靠性。
A Framework Architecture for the Information Backbone for Robotic Construction,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0042,https://doi.org/10.22260/isarc2026/0042,https://www.iaarc.org/./publications/fulltext/ISARC2026_1049.pdf,27,BIM; building information model; building information modeling,提出一种面向机器人建造信息主干（IBRC）的编排框架架构，通过微服务实现从建筑信息模型（BIM）到制造信息模型（FIM）及机器人执行模型（REM）的分阶段信息精化，并构建端到端原型验证了从BIM导出机器人可执行任务并实时反馈的可行性。
As-is Modelling of Deformed Linear Objects from 3D Point Clouds using Inverse Kinematics -based Iterative Closest Point,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0163,https://doi.org/10.22260/isarc2026/0163,https://www.iaarc.org/./publications/fulltext/ISARC2026_1017.pdf,27,BIM; bim model; bim models; scan-to-bim,提出基于逆运动学迭代最近点（ICPIK）的自动化参数建模方法，用于从三维点云重建变形线性构件的精确竣工BIM模型。实验验证表明，该算法在最大22.5°变形、多截面及缺失数据达25%的条件下，均能实现高精度对齐（均方根误差<0.006米）。
An Automated Decision Support System for Pre-planning of Precast Bridge Installation using Heuristic-Based Simulation and Invariant Signatures,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0009,https://doi.org/10.22260/isarc2026/0009,https://www.iaarc.org/./publications/fulltext/ISARC2026_1315.pdf,26,BIM; IFC; ifc model; ifc models,提出一种基于IFC的自动化决策支持框架，通过不变签名方法从IFC模型中自动提取桥梁构件信息，并结合启发式模拟算法生成无碰撞的预制桥面板安装方案。该方法在Unity3D中实现，经两个不同软件平台的IFC桥梁模型验证，能高效评估起重机操作可行性，降低现场风险。
Beyond Geometric Conversion: Enriching Industrial CAD Models for BIM-Based Design,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0301,https://doi.org/10.22260/isarc2026/0301,https://www.iaarc.org/./publications/fulltext/ISARC2026_1227.pdf,22,BIM; bim-based; IFC,提出一种轻量级开源框架，将工业STEP模型转换为语义丰富的BIM/IFC表示，通过简化几何、移除冗余组件并添加语义属性，解决工业与建筑领域间的互操作性问题。该框架以Blender插件形式实现，初步验证了其在复杂工业-建筑集成场景中的有效性。
Incremental IFC updates with 'why' and 'how': A case of IFC extension for LLM agent-enhanced simulation-based optimization for building energy efficiency,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0266,https://doi.org/10.22260/isarc2026/0266,https://www.iaarc.org/./publications/fulltext/ISARC2026_1425.pdf,22,BIM; IFC; ifc schema,针对建筑能效仿真优化与开放BIM协作脱节问题，提出IfcSboExtension的IFC模式扩展，通过为增量IFC更新添加“为何改变”和“如何推导”的上下文元数据，实现可交换、可追溯的迭代。案例证明，该扩展结合大语言模型智能体可增强设计变更的可解释性。
Cognitive Scan-to-BIM: LLM-Driven Hyperparameter Optimization for Robust MEP Primitive Fitting in Complex Construction Environments,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0184,https://doi.org/10.22260/isarc2026/0184,https://www.iaarc.org/./publications/fulltext/ISARC2026_1330.pdf,21,BIM; digital twin; scan-to-bim,针对扫描到BIM中MEP点云拟合依赖人工调参的瓶颈，提出利用大语言模型作为超参数搜索引擎的“认知拟合”方法，通过结构化几何反馈闭环优化。在加拿大住宅木结构数据集上，该方法使细碎电线类覆盖率从66.19%提升至71.81%，合并基元数从341降至302，管道类也获得一致改进。
Terrain-aware BIM Construction Planning for PrefabricatedBuildings in Complex Mountainous Sites: Method and SimulationValidation,2026-06-22,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20800146,https://doi.org/10.5281/zenodo.20800146,https://doi.org/10.5281/zenodo.20800146,20,BIM; bim-based; IFC,针对复杂山地预制建筑施工规划，提出一种地形感知的BIM方法，集成IFC组件语义与地形、道路、存储、塔吊及装配序列约束，并通过仿真协议评估可行性。在315个组件的三层预制建筑测试中，平均可行性指数提升至0.897，序列和存储约束贡献最显著。
A Comparative Study of Mobile Device and Terrestrial Laser Scanning-Based Scan-to-BIM Workflows,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0286,https://doi.org/10.22260/isarc2026/0286,https://www.iaarc.org/./publications/fulltext/ISARC2026_1132.pdf,18,BIM; scan-to-bim,???????????LiDAR?RoomPlan?Scan-to-BIM????????BIM????BIM???????????????????????????3D-IoU?0.93???????????????
"NUS3D: A BIM-Synthetic, Mobile-Scan and TLS Point Cloud Dataset for Robotic 3D Scene Understanding in Built Environment",2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0195,https://doi.org/10.22260/isarc2026/0195,https://www.iaarc.org/./publications/fulltext/ISARC2026_1019.pdf,16,BIM; scan-to-bim,提出NUS3D数据集，整合BIM合成、移动扫描与地面激光扫描点云，涵盖建筑结构及机电组件，用于训练和评估可泛化于合成与真实、静态与动态场景的3D场景理解与Scan-to-BIM算法。
Four-Dimensional Fire Safety Knowledge-Enhanced Large Language Model for BIM Compliance Checking,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0170,https://doi.org/10.22260/isarc2026/0170,https://www.iaarc.org/./publications/fulltext/ISARC2026_1381.pdf,15,BIM; bim-based,针对BIM消防合规审查中几何与拓扑条款难以执行、术语不匹配导致规则提取不稳定等问题，提出四维消防知识增强大语言模型框架（4FKE-LLM），通过构建语义、几何、拓扑和场景四维知识图谱，并设计双层合规检查机制，在宿舍楼案例中实现F1=0.863、准确率0.885，优于基线方法。
"An integrated workflow based on UAS, GIS, and BIM for building envelope maintenance management",2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0220,https://doi.org/10.22260/isarc2026/0220,https://www.iaarc.org/./publications/fulltext/ISARC2026_1222.pdf,15,BIM; bim model,提出一种集成无人机、地理信息系统和建筑信息模型的工作流程，通过商业智能环境整合建筑检测数据，实现建筑围护结构维护管理的可视化决策支持。案例研究验证了该方法在识别、定位和分析建筑异常方面的有效性，并揭示了互操作性与数据组织的实践挑战。
An Algorithmic Framework for the Automated Synchronization of Multi-Domain BIM Representations via Canonical Clustering,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0158,https://doi.org/10.22260/isarc2026/0158,https://www.iaarc.org/./publications/fulltext/ISARC2026_1126.pdf,15,BIM; bim model,提出一种基于规范聚类的自动化计算方法，通过主节点、从节点和刚性连杆的抽象结构，实现物理与结构BIM表示的双向同步，无需改变建筑几何。该方法在钢筋混凝土框架结构验证中实现100%准确的前后向转换，为多表征BIM数据管理和自动化设计-分析循环提供稳健框架。
Industrial3D: A Large-Scale Industrial MEP Point Cloud Dataset and Benchmark for Complex Industrial Scene Understanding,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0200,https://doi.org/10.22260/isarc2026/0200,https://www.iaarc.org/./publications/fulltext/ISARC2026_1429.pdf,13,BIM; scan-to-bim,提出首个大规模工业MEP点云数据集Industrial3D，包含13个水处理设施的6.1亿个标注点，覆盖12类专业构件，评估了多种监督与无监督方法，揭示了现有方法在长尾分布和几何模糊场景中的局限性，为推进自动化施工验证和Scan-to-BIM工作流提供了基准资源。
Activity-Flow-Based Modeling and Simulation for Construction Process Visualization,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0281,https://doi.org/10.22260/isarc2026/0281,https://www.iaarc.org/./publications/fulltext/ISARC2026_1349.pdf,10,openbim,提出一种活动-流程模型仿真方法，通过整合活动与流程数据，结合OpenBIM工作流和Unity环境实现面向代理的流程模拟。在试点项目中验证了该方法能增强对现场流程交互的识别，并改善活动排序与流程协调。
A proof-of-concept framework for LLM-augmented semantic web technologies for knowledge sharing and reuse in construction,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0160,https://doi.org/10.22260/isarc2026/0160,https://www.iaarc.org/./publications/fulltext/ISARC2026_1371.pdf,8,ifc-based,提出一种大语言模型与语义网技术融合框架，基于可复用的IFC本体，自动从自然语言需求生成可执行的语义网构件（SWRL、SPARQL、SHACL），以促进建筑行业动态知识共享与复用。通过模块化产品设计案例验证，该框架在GPT-4o和DeepSeek-V3.2上平均综合得分达0.87。
Automating Electrical Outlet and Circuit Assignment in BIM through AI-Assisted CAD-BIM Interoperability,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0199,https://doi.org/10.22260/isarc2026/0199,https://www.iaarc.org/./publications/fulltext/ISARC2026_1366.pdf,8,BIM,提出一种基于AI的CAD-BIM参数化工作流，通过多模态大语言模型提取CAD图纸电气元件信息，并利用Dynamo和Python自动完成插座与回路、回路与配电盘的连接。在五个数据中心案例中，该方法将42个插座的分配时间从31.5分钟降至0.033秒，且错误率为零。
Artificial Intelligence for Design for Safety in Construction: A Critical Review and Research Agenda,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0099,https://doi.org/10.22260/isarc2026/0099,https://www.iaarc.org/./publications/fulltext/ISARC2026_1112.pdf,8,BIM; digital twin,对27篇同行评审研究进行系统批判性综述，评估人工智能在施工安全设计中的应用现状。研究发现BIM集成规则检查、本体知识表示、自然语言处理及数字孪生等技术取得进展，但面临数据集碎片化、互操作性不足等挑战，据此提出包含结构化安全知识、混合AI推理等四部分的集成架构及未来研究议程。
"The project of Messina-Catania Railway Line, Taormina-Giampilieri Lot",2026-06-22,OpenAlex,,https://doi.org/10.1201/9781042001064-262,https://doi.org/10.1201/9781042001064-262,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.1201/9781042001064-262&type=chapterpdf,8,BIM; digital twin,以墨西拿-卡塔尼亚铁路线陶尔米纳-詹皮列里段为对象，探讨复杂地质与城市环境下28.3公里双线铁路的设计与施工。通过集成BIM参数化建模、4D模拟与施工更新，实现全阶段协同管理，提升施工效率与精度，为基础设施全生命周期管理建立稳健框架。
BIM-Integrated AR for MEP field inspection: A Multi-modal Approach,2026-06-22,OpenAlex,Proceedings of the ... ISARC,https://doi.org/10.22260/isarc2026/0027,https://doi.org/10.22260/isarc2026/0027,https://www.iaarc.org/./publications/fulltext/ISARC2026_1373.pdf,8,BIM,针对机电工程现场检查中二维图纸空间关系不直观的问题，提出集成BIM与AR的多模态原型系统，支持构件可视化与属性检索。经91名工程师测试，该方法简化了信息获取流程并提升了检查准确性。
Lean-digital-place integration for circular housing design,2026-06-21,OpenAlex,Liverpool John Moores University,https://doi.org/10.24928/2026/0137,https://doi.org/10.24928/2026/0137,https://pure.hud.ac.uk/en/publications/cb62af30-da21-4ba7-8859-6fc8f980f453,8,BIM; digital twin,提出精益-数字-场所（LDP）框架，通过整合精益建造、BIM和数字孪生等数字技术及区域材料生态系统，将循环性视为生产流程、数字信息基础设施与区域生态协同的涌现属性，并设计研究议程与评估指标以推动可扩展的循环住宅系统。
Integrating OpenBIM and LCA for Sustainable Construction: A Systematic Review and Proposed Research Framework,2026-06-19,OpenAlex,Buildings,https://doi.org/10.3390/buildings16122445,https://doi.org/10.3390/buildings16122445,https://doi.org/10.3390/buildings16122445,73,BIM; building information model; building information modeling; IFC; ifc file; industry foundation class; industry foundation classes; openbim,通过系统综述OpenBIM与生命周期评估（LCA）整合的现有实践，识别数据交换中的趋势、挑战与机遇，提出基于信息交付规范（IDS）的框架，以增强互操作性与自动化验证，推动可持续建筑实践。
IMPACT OF IFC EVOLUTION ON BIM IMPLEMENTATION AND DATA EXCHANGE STANDARDIZATION IN INFRASTRUCTURE PROJECTS,2026-06-19,OpenAlex,Put i saobraćaj,https://doi.org/10.31075/6skp.42,https://doi.org/10.31075/6skp.42,https://www.putisaobracaj.rs/index.php/PiS/article/download/510/347,70,BIM; building information model; building information modelling; IFC; industry foundation class; industry foundation classes; openbim,分析IFC模式从IFC 2x3到IFC 4.3及IFC 5.0概念方向的演进，探讨了早期版本因缺乏基础设施实体导致语义精度损失的问题，并指出IFC 4.3通过引入原生基础设施实体支持，提升了BIM在基础设施项目中的应用和openBIM数据交换标准化。
The role of building information modelling and openBIM in the effective coordination of construction projects,2026-06-19,OpenAlex,ANNUAL OF Univercity of architecture civil engineering and geodesy,https://doi.org/10.71167/uaceg.2026.590216,https://doi.org/10.71167/uaceg.2026.590216,,70,BIM; building information model; building information modelling; IFC; industry foundation class; industry foundation classes; openbim,探讨了BIM与openBIM在建设项目协调中的作用，通过分析IFC、BCF、IDS及通用数据环境，揭示其实现跨平台标准化数据交换与协作的机制。贡献在于阐明openBIM通过软件中立的数据共享语言，提升项目信息传递的透明性与可追溯性。
